Dossard,Place,Nom,Prénom,Club Ufolep 38,Département,Fédération
65,1,JALLIFFIER-TALMAT,Patrice,JARRIE CHAMP SUR DRAC CYCLISME,38,UFOLEP
71,2,MORACCHIOLI,Thomas,TEAM 3 MASSIFS,38,UFOLEP
84,3,PARROT,Yves,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
74,4,PATRICELLI,Gilles,TEAM 3 MASSIFS,38,UFOLEP
66,5,MESSY,Hugo,ORCIERES CYCLING TEAM,38,UFOLEP
76,6,UHRY,Gilles,TEAM 3 MASSIFS,38,UFOLEP
81,7,GIANNONE,Joseph,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
83,8,NORAZ,Florent,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
56,9,MICAS,Titouan,CYCLO CLUB DE GIERES,38,UFOLEP
85,10,QUERNIARD,Pierre,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
53,11,VIAL,Willy,LE FONTANIL CYCLISME,38,UFOLEP
51,12,PIC,Gerard,LE FONTANIL CYCLISME,38,UFOLEP
86,13,SEVOZ,Arnaud,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
80,14,GERRAND,Antony,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
89,15,TROUPEL,Benoist,,38,
78,16,HAGE,Benoit,UC VOIRON,38,
77,17,DUMOULIN,Herve,RIVES UNION CYCLISTE,38,
58,18,RAJON,Titouan,ECHIROLLES SPRINTCLUB AMICALELAIQUE,38,UFOLEP
79,19,BUISSON,Gregory,UNION CYCLISTE DE PONTCHARRA GRESIVAUDAN,38,UFOLEP
75,20,SEITE,Alain,TEAM 3 MASSIFS,38,UFOLEP
64,21,LORIGEON,Antoine,LA TRONCHE VELO SPORT,38,UFOLEP
62,22,JALLIFFIER-TALMAT,Thomas,JARRIE CHAMP SUR DRAC CYCLISME,38,UFOLEP
63,23,TROUILLET,Edgard,JARRIE CHAMP SUR DRAC CYCLISME,38,UFOLEP
73,24,BUCCI,Gregory,TEAM 3 MASSIFS,38,UFOLEP
69,25,ALESSANDRI,Damien,TEAM 3 MASSIFS,38,UFOLEP
70,26,BERNARD,Patrick,TEAM 3 MASSIFS,38,UFOLEP
57,27,GLENAZ,Celian,ECHIROLLES SPRINTCLUB AMICALELAIQUE,38,UFOLEP
82,28,INDERCHIT,Jean-Louis,UNION CYCLISTE VOIRONNAISE,38,UFOLEP
55,29,BUSCAYLET,Philippe,CYCLO CLUB DE GIERES,38,UFOLEP
67,30,DE FLAUGUERGUES,François,SUD GRESIVAUDAN CYCLISME,38,UFOLEP
87,31,BOUSCHON,Patrick,,38,
68,32,VAUTRIN,Gregory,SUD GRESIVAUDAN CYCLISME COMPETITION,38,
60,33,GATEAUX,Damien,JARRIE CHAMP SUR DRAC CYCLISME,38,UFOLEP
52,34,SEGUIN,Augustin,LE FONTANIL CYCLISME,38,UFOLEP
88,35,DERNAT,Olivier,,38,
54,36,MARGUET,Aline,ALPIN'S WHEEL TEAM,38,UFOLEP
72,AB,DENIS,Remy,TEAM 3 MASSIFS,38,UFOLEP
61,NC,PUDELKO,Sebastien,LA TRONCHE VELO SPORT,38,UFOLEP
90,NC,ZANCANARO,Eric,,38,
