NOM,DATE,DOSSIER,CLUB
Cyclocross du Mouillat,2024/01/07,2024_01_07_mouillat,VC TURRIPINOIS
Grand Prix Cyclespace - Alpespace,2024/03/24,2024_03_24_cyclespace,UC PONTCHARRA GRESIVAUDAN
Grand Prix d'Oyeu - Burcin,2024/04/01,,CYCLO CLUB DE GIERES
Grand Prix de Lalley,2024/04/28,,COMITE
Grand Prix de Cras,2024/05/01,,LE FONTANIL CYCLISME
Grimpée du Col de Porte,2024/05/08,,LA TRONCHE VELO SPORT
Notre Dame de l’Osier,2024/05/19,,COMITE
Grimpée du col de la Morte,2024/06/02,,TEAM 3 MASSIFS
Chrono du Vercors,2024/06/08,,ALPIN'S WHEEL TEAM
Grand prix d'Andrevière,2024/06/09,,LE FONTANIL CYCLISME
Grimpée du Collet d’Allevard,2024/06/22,,UC PONTCHARRA GRESIVAUDAN
Grimpée du Peuil,2024/06/29,,CYCLISME SEYSSINET SEYSSINS
Grand prix du Versoud,2024/06/30,,TEAM 3 MASSIFS
Tryptique du Fontanil,2024/09/01,,LE FONTANIL CYCLISME
Grimpée cycliste Murianette - Pinet d'Uriage,2024/09/01,,CYCLO CLUB DE GIERES
CLM des Chambarrans,2024/09/01,,LA TRONCHE VELO SPORT
Grand prix de la Chapelle,2024/09/01,,VC TURRIPINOIS
Grimpée du Col de l'Arzelier,2024/09/01,,SCAL ECHIROLLES
Grimpée de Montaud,2024/10/06,,LE FONTANIL CYCLISME
